,station,name,ribbonType,menu,priceRange
68,왕십리,높은집종가산꼼장어,RIBBON_ONE,"숯불민물장어구이, 숯불바다장어구이(각 시가), 숯불산곰장어스페셜(5만원, 10만원), 전복구이(2만원)",2~4만원대
69,왕십리,대도식당,RIBBON_ONE,"한우등심(170g 4만2천원), 깍두기볶음밥(4천원)",4~10만원대
70,왕십리,땅코참숯구이,RIBBON_ONE,"삼겹살, 목살, 갈매기살(각 200g 1만7천원), 물냉면, 비빔냉면(각 5천원)",1~2만원대
71,왕십리,성천막국수,RIBBON_ONE,"물막국수(6천5백원), 비빔막국수(7천원), 물막국수정식(9천5백원), 비빔막국수정식(1만원), 제육(반접시 5천5백원, 한접시 1만1천원)",1만원 미만
72,왕십리,소나무,RIBBON_ONE,"한우소갈빗살(100g 1만5천원), 된장찌개, 물냉면, 비빔냉면(각 5천원)",2~4만원대
73,왕십리,용문집,RIBBON_ONE,"치마살, 토시살, 제비추리, 차돌박이(각 300g 6만원), 안창살(350g 8만원), 육회, 육사시미(각 250g 5만원), 스페셜암소한마리(700g 6만원), 한우암소한마리(700g 8만원)",4~10만원대
74,왕십리,유래회관,RIBBON_ONE,"한우생등심(180g 4만2천원), 한우육회(180g 3만원), 된장국수, 볶음밥(각 4천원)",4~10만원대
75,왕십리,일광쪽갈비,RIBBON_ONE,쪽갈비(200g 1만1천원),1~2만원대
76,왕십리,치차로,RIBBON_ONE,"초리조스크렘블에그(1만원), 화이트엔초비감자튀김(1만3천원), 갈라시간문어알감자튀김(1만9천원), 이베리코돼지플루마(3만3천원)",1~2만원대
77,왕십리,경기집,NOT,"모둠(500g 4만원, 700g 6만원, 900g 8만원), 안창살(200g 2만원), 차돌박이(200g 1만5천원)",2~4만원대
78,왕십리,남원추어탕(장안점),NOT,"추어탕(8천원), 미꾸라지숙회(중 2만원, 대 3만원)",1만원 미만
